LipidMolec,ClassKey,FAKey,CalcMass,BaseRt,TotalGrade,TotalSmpIDRate(%),MeanArea[s1],MeanArea[s2],MeanArea[s3],MeanArea[s4],MeanArea[s5],MeanArea[s6],MeanArea[s7],MeanArea[s8],MeanArea[s9],MeanArea[s10],MeanArea[s11],MeanArea[s12]
ChE(18:1),ChE,(18:1),650.6002,45.087,A,7.69,102000,136000,95400,121000,21700,23800,28300,19700,292727.2727,292549.0909,434523.0909,292682.7273
ChE(18:1),ChE,(18:1),650.6002,45.1551,A,7.69,102000,136000,95400,121000,21700,23800,28300,19700,292727.2727,292549.0909,434523.0909,292682.7273
ChE(18:1),ChE,(18:1),650.6002,45.217,A,7.69,102000,136000,95400,164000,21700,23800,28300,19700,314545.4545,314367.2727,456341.2727,314500.9091
ChE(18:1)+D7:(s),ChE,(18:1)+D7:(s),657.6441,45.1193,A,15.38,202000,236000,246400,253000,335000,3126000,348000,348000,887272.7273,887094.5455,967250.3636,887228.1818
ChE(18:2),ChE,(18:2),648.5845,43.4773,A,69.23,349000,349000,395000,356000,224000,430000,385000,172000,290909.0909,290730.9091,364704.9091,290864.5455
ChE(20:4),ChE,(20:4),672.5845,42.4501,A,38.46,193000,183000,165000,106000,215000,326000,300000,204000,117454.5455,117276.3636,108886.7273,117410
ChE(22:6),ChE,(22:6),696.5845,41.6422,A,7.69,,,,,55900,204000,132000,99700,0,#VALUE!,#VALUE!,#VALUE!
CL(18:0_18:0_18:2_18:2),CL,(18:0_18:0_18:2_18:2),1457.0348,39.4326,C,7.69,,,,0.003,537,2430,2360,,0,#VALUE!,#VALUE!,#VALUE!
CL(18:1_18:1_18:1_18:2),CL,(18:1_18:1_18:1_18:2),1455.0192,38.0453,B,7.69,929,0.739,0.937,,3.08,801,54.7,15500,0,#VALUE!,#VALUE!,#VALUE!
CL(18:1_18:1_18:2_18:2),CL,(18:1_18:1_18:2_18:2),1453.0035,37.8869,A,7.69,8480,1440,556,1790,2320,2970,118000,9570,0,#VALUE!,#VALUE!,#VALUE!
CL(72:8),CL,(72:8),1448.9722,36.907,C,38.46,18700,42900,36600,11900,137000,160000,158000,54400,158909.0909,158730.9091,240523.0909,158864.5455
