LipidMolec,intensity[s1],intensity[s2],intensity[s3],intensity[s4],intensity[s5],intensity[s6],intensity[s7],intensity[s8],intensity[s9],intensity[s10],intensity[s11],intensity[s12]
SM(t36:1),2.7588235294117600,3.665948275862070,3.1946808510638300,2.7336492890995300,10.88659793814430,8.342465753424660,6.409429280397020,17.858267716535400,8.961313012895660,8.957516807323700,7.044154998844710,8.96036404328143
SM(t36:4),0.034725490196078400,0.021814655172413800,0.0,0.054938388625592400,0.016268041237113400,0.0,0.023761786600496300,0.042066141732283500,1.0930832356389200,1.088382956072330,0.5694591850811330,1.0919082670018100
SM(t40:1),0.3431372549019610,0.1575,0.14,0.09289099526066350,0.0,0.22553424657534200,0.21521091811414400,0.3386456692913390,0.5810082063305980,0.5762490884064050,0.42250677049010200,0.5798185293715940
SM(t42:1),0.08715686274509800,0.21905172413793100,0.47510638297872300,0.12208530805687200,0.2635051546391750,0.3049315068493150,0.0033037220843672500,0.003485669291338580,0.0,0.0,0.0,0.0
SM(t42:2),7.686274509803920,7.015086206896550,5.29468085106383,4.817061611374410,1.2247422680412400,5.736164383561640,7.086848635235730,9.921259842519690,10.438452520515800,10.4348260409754,8.148617222691790,10.4375459787532
SM(t42:3),1.1049019607843100,0.7594396551724140,0.5652127659574470,0.3556398104265400,2.1216494845360800,1.8353424657534200,1.8550868486352400,2.5729133858267700,2.9838218053927300,2.9793387751465,1.7647743177084200,2.9827011444056700
SM(t44:1),21.823529411764700,20.81896551724140,16.01063829787230,12.34123222748820,0.0,0.0,0.04601240694789080,0.0,17.28253223915590,17.27969215689490,10.28322750683240,17.281822279772400
TG(10:0_10:0_12:0),2.5526522593320200,0.35698324022346400,4.945820433436530,0.40156989247311800,0.0385145251396648,0.024547872340425500,0.034364,0.030166666666666700,16.429752066115700,16.385518849977700,21.285171588398100,16.41870048067580
TG(10:0_12:0_12:0),5.733005893909630,0.22741154562383600,19.739318885448900,0.554258064516129,0.0003573798882681560,0.1087659574468090,0.020341500000000000,0.016833333333333300,69.82644628099180,69.82549502903180,82.03967728489490,69.82620861248770
TG(10:0_12:0_18:0),60.95677799607070,46.67225325884540,169.4767801857590,58.63225806451610,2.4830167597765400,2.843776595744680,2.28265,1.2466666666666700,154.9090909090910,154.9771054242280,166.21073789836600,154.92608420713300
TG(10:0_12:0_18:1),51.88998035363460,21.551210428305400,153.8699690402480,21.83440860215050,0.6346368715083800,0.5664893617021280,0.6248,0.46000000000000000,319.79338842975200,319.99505384526300,351.9157318503780,319.8437741526180
TG(10:0_14:0_18:0),135.5834970530450,6.769459962756050,181.3467492260060,94.51397849462370,3.212849162011170,2.911755319148940,4.757000000000000,2.17,62.19834710743800,62.19121271773830,95.61899864002390,62.19656459365740
TG(10:0_14:0_18:2),84.3909626719057,57.778398510242100,131.22910216718300,66.11397849462370,0.1578659217877100,0.608031914893617,0.34861000000000000,0.3566666666666670,64.54545454545460,64.54022265967480,45.60355929765960,64.54414736868210
TG(10:0_16:0_16:0),149.25343811394900,47.99441340782120,212.34055727554200,72.52688172043010,3.411173184357540,6.684574468085110,2.4850000000000000,3.3666666666666700,85.6694214876033,85.68131213710280,107.28062957477200,85.67239234390430
